iteration,dem_seats,rep_seats,efficiency_gap,mean_median_difference
000,0,4,36.55,0.69
001,0,4,36.55,2.98
003,1,3,11.54,-0.48
004,0,4,36.55,1.67
005,0,4,36.55,1.89
006,0,4,36.55,2.75
007,0,4,36.55,1.89
008,0,4,36.55,1.7
009,0,4,36.55,2.3
011,0,4,36.55,2.4
012,0,4,36.55,2.26
013,0,4,36.55,3.23
014,1,3,11.78,1.57
016,1,3,12.02,1.6
017,0,4,36.55,1.57
018,1,3,11.94,0.96
019,0,4,36.55,1.73
020,0,4,36.55,1.67
022,0,4,36.55,1.74
023,0,4,36.55,1.7
024,0,4,36.55,1.64
025,0,4,36.55,1.89
026,1,3,11.64,1.65
027,0,4,36.55,1.71
028,0,4,36.55,1.67
029,0,4,36.55,1.93
030,0,4,36.55,-0.23
031,0,4,36.55,-0.1
032,0,4,36.55,1.69
033,0,4,36.55,1.89
034,0,4,36.55,1.9
035,0,4,36.55,1.77
036,0,4,36.55,3.24
037,0,4,36.55,3.38
038,0,4,36.55,1.89
039,0,4,36.55,1.74
040,1,3,11.37,1.87
041,0,4,36.55,2.03
042,0,4,36.55,1.68
043,0,4,36.55,1.83
044,0,4,36.55,1.73
045,1,3,11.01,0.7
046,0,4,36.55,1.71
047,0,4,36.55,1.72
048,0,4,36.55,1.89
049,0,4,36.55,1.73
051,1,3,10.82,0.5
052,0,4,36.55,1.93
053,0,4,36.55,3.04
054,1,3,11.27,0.87
055,0,4,36.55,2.28
056,0,4,36.55,2.34
057,0,4,36.55,1.72
058,1,3,10.83,-0.13
059,1,3,11.54,-0.34
060,1,3,10.83,0.81
061,0,4,36.55,3.06
062,0,4,36.55,1.86
063,0,4,36.55,3.14
064,0,4,36.55,1.64
066,0,4,36.55,2.03
067,0,4,36.55,1.64
068,0,4,36.55,3.18
069,1,3,10.78,1.81
070,0,4,36.55,2.4
071,0,4,36.55,2.34
073,0,4,36.55,2.34
074,0,4,36.55,1.8
075,0,4,36.55,2.66
076,0,4,36.55,1.9
079,0,4,36.55,1.67
080,1,3,11.39,-0.62
082,1,3,11.53,0.89
083,0,4,36.55,1.58
084,1,3,11.87,0.73
085,0,4,36.55,1.89
086,0,4,36.55,1.52
087,0,4,36.55,1.62
088,1,3,11.8,0.8
089,1,3,11.55,1.99
090,0,4,36.55,2.08
091,1,3,10.82,0.48
092,0,4,36.55,1.89
093,0,4,36.55,1.93
094,0,4,36.55,2.18
095,0,4,36.55,3.03
096,0,4,36.55,0.4
097,0,4,36.55,1.89
098,1,3,11.61,0.88
100,1,3,12.02,1.6
101,0,4,36.55,1.89
102,0,4,36.55,1.68
103,0,4,36.55,1.45
104,0,4,36.55,1.66
105,0,4,36.55,-0.05
106,1,3,11.89,1.62
107,0,4,36.55,1.89
108,1,3,11.05,0.99
109,1,3,11.69,-0.49
110,0,4,36.55,1.64
111,0,4,36.55,2.12
112,0,4,36.55,1.93
113,1,3,10.66,0.99
114,1,3,11.85,0.92
115,0,4,36.55,2.34
116,1,3,10.88,-0.69
118,1,3,11.68,1.39
120,0,4,36.55,2.16
121,1,3,11.79,1.8
122,0,4,36.55,1.89
123,0,4,36.55,1.78
124,1,3,10.83,0.81
125,0,4,36.55,1.89
126,0,4,36.55,0.66
127,0,4,36.55,1.72
128,1,3,11.27,-0.59
129,1,3,11.04,-1.06
130,0,4,36.55,2.03
131,0,4,36.55,1.55
132,0,4,36.55,1.94
133,0,4,36.55,3.24
134,0,4,36.55,3.18
135,0,4,36.55,2.32
136,1,3,11.72,1.63
137,1,3,11.27,1.18
138,1,3,10.47,1.9
139,1,3,10.64,2.15
140,0,4,36.55,1.63
142,0,4,36.55,1.89
143,0,4,36.55,1.84
144,0,4,36.55,0.79
145,0,4,36.55,3.52
146,0,4,36.55,0.86
147,0,4,36.55,1.57
148,0,4,36.55,2.19
149,0,4,36.55,2.22
150,0,4,36.55,-0.07
151,0,4,36.55,1.7
152,0,4,36.55,1.85
153,0,4,36.55,1.79
154,0,4,36.55,1.77
155,1,3,11.52,1.57
156,0,4,36.55,1.88
157,1,3,10.59,1.87
158,0,4,36.55,1.74
160,0,4,36.55,0.7
161,0,4,36.55,2.0
162,1,3,11.42,1.65
163,0,4,36.55,1.69
164,0,4,36.55,1.89
165,0,4,36.55,1.83
166,0,4,36.55,2.12
167,1,3,11.09,1.76
168,0,4,36.55,1.64
169,1,3,10.83,0.93
170,1,3,11.45,1.21
171,0,4,36.55,1.6
172,1,3,12.02,1.6
173,1,3,11.47,1.66
174,1,3,10.82,0.21
175,0,4,36.55,1.63
176,0,4,36.55,0.17
177,1,3,11.83,1.85
178,0,4,36.55,1.71
179,0,4,36.55,3.15
180,1,3,11.54,-0.33
182,1,3,10.83,0.9
183,1,3,11.82,1.29
185,1,3,11.91,1.8
186,0,4,36.55,1.77
187,0,4,36.55,1.98
188,0,4,36.55,2.03
189,0,4,36.55,3.13
190,0,4,36.55,1.28
191,1,3,10.83,0.78
192,0,4,36.55,3.26
193,0,4,36.55,2.52
194,1,3,11.52,1.98
195,1,3,11.78,-0.46
197,0,4,36.55,1.9
198,0,4,36.55,1.89
199,0,4,36.55,1.06
201,0,4,36.55,1.17
202,1,3,11.55,1.99
203,0,4,36.55,0.38
205,2,2,-13.59,0.25
206,0,4,36.55,2.17
207,0,4,36.55,1.69
208,1,3,11.31,0.91
209,0,4,36.55,2.15
210,0,4,36.55,3.08
211,0,4,36.55,2.2
212,0,4,36.55,1.41
213,0,4,36.55,1.86
214,1,3,10.88,0.93
215,0,4,36.55,1.7
216,0,4,36.55,1.62
217,0,4,36.55,3.2
219,1,3,11.52,1.71
220,0,4,36.55,1.97
221,1,3,10.82,-0.72
222,0,4,36.55,1.73
223,1,3,11.44,1.5
224,1,3,11.27,0.56
225,0,4,36.55,1.88
226,0,4,36.55,1.62
227,0,4,36.55,0.83
228,0,4,36.55,1.64
229,1,3,11.27,-0.82
230,0,4,36.55,1.72
231,0,4,36.55,1.89
232,0,4,36.55,3.18
233,0,4,36.55,1.72
234,0,4,36.55,1.64
236,0,4,36.55,2.2
237,0,4,36.55,1.78
238,0,4,36.55,1.69
239,0,4,36.55,1.89
241,0,4,36.55,3.03
242,1,3,11.73,1.42
243,0,4,36.55,2.28
244,0,4,36.55,2.98
245,0,4,36.55,2.32
246,0,4,36.55,3.2
247,1,3,10.9,1.06
248,1,3,11.27,0.8
250,0,4,36.55,1.64
251,0,4,36.55,1.75
252,1,3,10.75,0.45
253,1,3,12.06,-0.62
255,1,3,11.05,1.52
256,0,4,36.55,1.79
257,0,4,36.55,1.72
259,0,4,36.55,3.02
